epsilon,dp_accuracy,lambda,accuracy,size
1.0,0.66,10.0,0.66,800
0.8,0.66,10.0,0.66,800
0.5,0.67,10.0,0.66,800
0.1,0.65,10.0,0.66,800
0.08,0.66,10.0,0.66,800
0.05,0.66,10.0,0.66,800
0.01,0.62,10.0,0.66,800
0.005,0.55,10.0,0.66,800
0.001,0.335,10.0,0.66,800
1.0,0.66,2.0,0.665,800
0.8,0.65,2.0,0.665,800
0.5,0.655,2.0,0.665,800
0.1,0.635,2.0,0.665,800
0.08,0.63,2.0,0.665,800
0.05,0.59,2.0,0.665,800
0.01,0.46,2.0,0.665,800
0.005,0.34,2.0,0.665,800
0.001,0.255,2.0,0.665,800
1.0,0.67,1.0,0.655,800
0.8,0.66,1.0,0.655,800
0.5,0.66,1.0,0.655,800
0.1,0.625,1.0,0.655,800
0.08,0.645,1.0,0.655,800
0.05,0.565,1.0,0.655,800
0.01,0.38,1.0,0.655,800
0.005,0.25,1.0,0.655,800
0.001,0.215,1.0,0.655,800
1.0,0.625,0.1,0.645,800
0.8,0.57,0.1,0.645,800
0.5,0.535,0.1,0.645,800
0.1,0.315,0.1,0.645,800
0.08,0.3,0.1,0.645,800
0.05,0.28,0.1,0.645,800
0.01,0.195,0.1,0.645,800
0.005,0.1,0.1,0.645,800
0.001,0.065,0.1,0.645,800
1.0,0.555,0.05,0.635,800
0.8,0.525,0.05,0.635,800
0.5,0.515,0.05,0.635,800
0.1,0.115,0.05,0.635,800
0.08,0.115,0.05,0.635,800
0.05,0.12,0.05,0.635,800
0.01,0.08,0.05,0.635,800
0.005,0.195,0.05,0.635,800
0.001,0.14,0.05,0.635,800
1.0,0.245,0.01,0.615,800
0.8,0.19,0.01,0.615,800
0.5,0.12,0.01,0.615,800
0.1,0.155,0.01,0.615,800
0.08,0.135,0.01,0.615,800
0.05,0.18,0.01,0.615,800
0.01,0.07,0.01,0.615,800
0.005,0.14,0.01,0.615,800
0.001,0.07,0.01,0.615,800
1.0,0.065,0.001,0.555,800
0.8,0.085,0.001,0.555,800
0.5,0.115,0.001,0.555,800
0.1,0.055,0.001,0.555,800
0.08,0.06,0.001,0.555,800
0.05,0.135,0.001,0.555,800
0.01,0.165,0.001,0.555,800
0.005,0.115,0.001,0.555,800
0.001,0.245,0.001,0.555,800
1.0,0.703,10.0,0.703,8000
0.8,0.703,10.0,0.703,8000
0.5,0.703,10.0,0.703,8000
0.1,0.7025,10.0,0.703,8000
0.08,0.702,10.0,0.703,8000
0.05,0.7025,10.0,0.703,8000
0.01,0.701,10.0,0.703,8000
0.005,0.7,10.0,0.703,8000
0.001,0.677,10.0,0.703,8000
1.0,0.702,2.0,0.7015,8000
0.8,0.702,2.0,0.7015,8000
0.5,0.7015,2.0,0.7015,8000
0.1,0.7025,2.0,0.7015,8000
0.08,0.7015,2.0,0.7015,8000
0.05,0.7025,2.0,0.7015,8000
0.01,0.684,2.0,0.7015,8000
0.005,0.634,2.0,0.7015,8000
0.001,0.5105,2.0,0.7015,8000
1.0,0.701,1.0,0.701,8000
0.8,0.702,1.0,0.701,8000
0.5,0.7005,1.0,0.701,8000
0.1,0.6995,1.0,0.701,8000
0.08,0.6995,1.0,0.701,8000
0.05,0.7035,1.0,0.701,8000
0.01,0.664,1.0,0.701,8000
0.005,0.5645,1.0,0.701,8000
0.001,0.425,1.0,0.701,8000
1.0,0.691,0.1,0.6955,8000
0.8,0.6925,0.1,0.6955,8000
0.5,0.688,0.1,0.6955,8000
0.1,0.693,0.1,0.6955,8000
0.08,0.6625,0.1,0.6955,8000
0.05,0.6035,0.1,0.6955,8000
0.01,0.3635,0.1,0.6955,8000
0.005,0.325,0.1,0.6955,8000
0.001,0.206,0.1,0.6955,8000
1.0,0.696,0.05,0.6935,8000
0.8,0.6915,0.05,0.6935,8000
0.5,0.681,0.05,0.6935,8000
0.1,0.64,0.05,0.6935,8000
0.08,0.5965,0.05,0.6935,8000
0.05,0.5195,0.05,0.6935,8000
0.01,0.1955,0.05,0.6935,8000
0.005,0.1545,0.05,0.6935,8000
0.001,0.2055,0.05,0.6935,8000
1.0,0.6735,0.01,0.6885,8000
0.8,0.6425,0.01,0.6885,8000
0.5,0.6275,0.01,0.6885,8000
0.1,0.376,0.01,0.6885,8000
0.08,0.3065,0.01,0.6885,8000
0.05,0.258,0.01,0.6885,8000
0.01,0.109,0.01,0.6885,8000
0.005,0.121,0.01,0.6885,8000
0.001,0.1975,0.01,0.6885,8000
1.0,0.26,0.001,0.668,8000
0.8,0.1395,0.001,0.668,8000
0.5,0.1535,0.001,0.668,8000
0.1,0.1785,0.001,0.668,8000
0.08,0.145,0.001,0.668,8000
0.05,0.1375,0.001,0.668,8000
0.01,0.038,0.001,0.668,8000
0.005,0.2045,0.001,0.668,8000
0.001,0.188,0.001,0.668,8000
1.0,0.6938,10.0,0.6938,40000
0.8,0.6938,10.0,0.6938,40000
0.5,0.6938,10.0,0.6938,40000
0.1,0.6936,10.0,0.6938,40000
0.08,0.6937,10.0,0.6938,40000
0.05,0.6936,10.0,0.6938,40000
0.01,0.6935,10.0,0.6938,40000
0.005,0.693,10.0,0.6938,40000
0.001,0.6929,10.0,0.6938,40000
1.0,0.693,2.0,0.693,40000
0.8,0.693,2.0,0.693,40000
0.5,0.6932,2.0,0.693,40000
0.1,0.6931,2.0,0.693,40000
0.08,0.6926,2.0,0.693,40000
0.05,0.6928,2.0,0.693,40000
0.01,0.6926,2.0,0.693,40000
0.005,0.691,2.0,0.693,40000
0.001,0.6743,2.0,0.693,40000
1.0,0.6933,1.0,0.6933,40000
0.8,0.6935,1.0,0.6933,40000
0.5,0.6935,1.0,0.6933,40000
0.1,0.6932,1.0,0.6933,40000
0.08,0.6928,1.0,0.6933,40000
0.05,0.6925,1.0,0.6933,40000
0.01,0.6903,1.0,0.6933,40000
0.005,0.6881,1.0,0.6933,40000
0.001,0.6172,1.0,0.6933,40000
1.0,0.6923,0.1,0.6927,40000
0.8,0.6927,0.1,0.6927,40000
0.5,0.6927,0.1,0.6927,40000
0.1,0.6895,0.1,0.6927,40000
0.08,0.6894,0.1,0.6927,40000
0.05,0.6849,0.1,0.6927,40000
0.01,0.5955,0.1,0.6927,40000
0.005,0.5856,0.1,0.6927,40000
0.001,0.3126,0.1,0.6927,40000
1.0,0.6916,0.05,0.6915,40000
0.8,0.6916,0.05,0.6915,40000
0.5,0.6923,0.05,0.6915,40000
0.1,0.6905,0.05,0.6915,40000
0.08,0.6817,0.05,0.6915,40000
0.05,0.6576,0.05,0.6915,40000
0.01,0.4716,0.05,0.6915,40000
0.005,0.4067,0.05,0.6915,40000
0.001,0.2074,0.05,0.6915,40000
1.0,0.6907,0.01,0.6893,40000
0.8,0.6872,0.01,0.6893,40000
0.5,0.6803,0.01,0.6893,40000
0.1,0.5995,0.01,0.6893,40000
0.08,0.5801,0.01,0.6893,40000
0.05,0.4343,0.01,0.6893,40000
0.01,0.1319,0.01,0.6893,40000
0.005,0.1851,0.01,0.6893,40000
0.001,0.1373,0.01,0.6893,40000
1.0,0.6378,0.001,0.6817,40000
0.8,0.5544,0.001,0.6817,40000
0.5,0.4585,0.001,0.6817,40000
0.1,0.3049,0.001,0.6817,40000
0.08,0.2339,0.001,0.6817,40000
0.05,0.2648,0.001,0.6817,40000
0.01,0.1202,0.001,0.6817,40000
0.005,0.1254,0.001,0.6817,40000
